"","Family","Loc","GID","GM_Trial","BLUE_Yield_corrected","BLUE_Moisture"
"2561","20009489-2984004","VANDALA_1","GID100020039747",38,3503.26561832207,10.3892624889345
"2563","20009489-2984004","VANDALA_1","GID100020039753",34,4140.7447749053,10.5607404603697
"2564","20009500-10020419656","VANDALA_1","GID100020039756",40,4247.53699469121,10.4494667028447
"2565","20001789-2984004","VANDALA_1","GID100020039757",36,3813.72454491057,10.277651734803
"2567","20009419-2984004","VANDALA_1","GID100020039770",38,4719.76925853111,10.413267624593
"2568","20009472-10020419721","VANDALA_1","GID100020039774",39,4548.05329066335,10.6286641651283
"2572","20009416-2984004","VANDALA_1","GID100020039779",30,4106.65598317264,10.5820724968667
"2573","20009416-2984004","VANDALA_1","GID100020039781",42,4918.46477924985,10.6445046400666
"2574","20001789-2984004","VANDALA_1","GID100020039782",36,4679.32531432253,10.5528547486409
"2575","20009479-10020419721","VANDALA_1","GID100020039786",39,4061.33696981655,10.6343362090038
"2578","20009419-2984004","VANDALA_1","GID100020039794",41,4248.78342910529,10.4883637421359
"2580","20009479-10020419721","VANDALA_1","GID100020039800",40,4237.42669249398,10.5040049176557
"2583","20009472-10020419721","VANDALA_1","GID100020039810",42,4541.43879483022,10.433005210858
"2585","20009416-2984004","VANDALA_1","GID100020039813",42,4713.40699877932,10.2812334832857
"2590","20009419-2984004","VANDALA_1","GID100020039821",39,3956.18390015977,10.3428414537354
"2592","20009419-2984004","VANDALA_1","GID100020039829",38,3863.62772192525,10.9419492562067
"2596","20009489-2984004","VANDALA_1","GID100020039852",39,4452.54237342475,10.6378729393003
"2598","20009419-2984004","VANDALA_1","GID100020039859",38,4527.8492624069,10.6023223019183
"2599","20009472-3472667","VANDALA_1","GID100020039860",39,4557.38034988566,10.506096173617
"2601","20009419-2984004","VANDALA_1","GID100020039865",36,4351.97614988934,10.7327397215586
"2603","20009490-2984004","VANDALA_1","GID100020039868",41,5062.32205249799,10.4852071892919
